RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
FR14318;;FR;BRED Gestion;;18 QUAI DE LA RAPEE;75012;PARIS 12;Credit institution S122;;;;Y;N;FR14318
FR14328;;FR;Amundi finance;;90 BOULEVARD PASTEUR;75015;PARIS 15;Credit institution S122;;;;Y;N;FR14328
AT0000084404175;TEAMDE71TAT;AT;TeamBank Österreich - Niederlassung der TeamBank AG Nürnberg;;Fleischmarkt, 1/6/12;1010;Wien;Credit institution S122;DE;TeamBank AG Nürnberg;DE05674;Y;N;AT0000084404175
AT0000093710018;COPRATWWXXX;AT;Liechtensteinische Landesbank (Österreich) AG;;Hessgasse, 1;1010;Wien;Credit institution S122;;;;Y;N;AT0000093710018
BE0819210332;ABNABE2AIPC;BE;ABN AMRO Bank N.V.;B4;Borsbeeksebrug, 30;2600;Antwerpen;Credit institution S122;NL;ABN AMRO Bank N.V.;NL149;Y;N;BE0819210332
BE0404453574;ARSPBE22;BE;ARGENTA SPAARBANK;;Belgiëlei, 49-53;2018;Antwerpen;Credit institution S122;;;;Y;N;BE0404453574
BE0403201185;GKCCBEBB;BE;BELFIUS BANK;;Place Charles Rogier, 11;1210;Sint-Joost-ten-Node;Credit institution S122;;;;Y;N;BE0403201185
BE0404476835;AXABBE22;BE;AXA BANK BELGIUM;;Sylvain Dupuislaan, 251;1070;Anderlecht;Credit institution S122;;;;Y;N;BE0404476835
BE0416144648;BARBBEBB;BE;Bank of Baroda;;Wetstraat, 28;1040;Bruxelles;Credit institution S122;IN;Bank of Baroda;IN0ECBM00042;Y;N;BE0416144648
BE0403200393;BBRUBEBB;BE;ING BELGIUM;;Marnixlaan, 24;1000;Brussel;Credit institution S122;;;;Y;N;BE0403200393
BE0445048470;BBVABEBB;BE;BANCO BILBAO VIZCAYA ARGENTARIA;;Kantersteen, 47;1000;Bruxelles;Credit institution S122;ES;Banco Bilbao Vizcaya Argentaria, S.A.;ES0182;Y;N;BE0445048470
BE0423454191;BCDMBEBB;BE;BANQUE CHAABI DU MAROC;;Zuidlaan, 62;1000;Bruxelles;Credit institution S122;FR;Banque Chaabi du Maroc;FR41439;Y;N;BE0423454191
BE0827624586;BKCHBEBB;BE;BANK OF CHINA (EUROPE) SA;;Boulevard du Régent, 35;1000;Bruxelles;Credit institution S122;LU;Bank of China (Europe) S.A;LUB00222;Y;N;BE0827624586
BE0889389238;BKIDBE22;BE;BANK OF INDIA;;Schupstraat, 18-20;2018;Antwerpen;Credit institution S122;IN;Bank of India;IN0ECBM00018;Y;N;BE0889389238
BE0830227057;BLUXBE41;BE;BANQUE DE LUXEMBOURG;;Terhulpsesteenweg, 120;1000;Brussel;Credit institution S122;LU;Banque de Luxembourg S.A.;LUB00008;Y;N;BE0830227057
BE0403199306;BMPBBEBB;BE;AION BANK;;Gulden-Vlieslaan, 26-28;1050;Ixelles;Credit institution S122;;;;Y;N;BE0403199306
BE0404140107;BNAGBEBB;BE;BANQUE NAGELMACKERS;;Sterrenkundelaan, 23;1210;Saint-Josse-ten-Noode;Credit institution S122;;;;Y;N;BE0404140107
BE0456038471;BPOTBEB1;BE;bpost bank;;Markiesstraat, 1/2;1000;Bruxelles;Credit institution S122;;;;Y;N;BE0456038471
BE0415718640;BYBBBEBB;BE;BYBLOS BANK EUROPE;8;Bischoffsheimlaan, 1-8;1000;Bruxelles;Credit institution S122;;;;Y;N;BE0415718640
BE0400040965;CEKVBE81;BE;Centrale Kredietverlening;;Mannebeekstraat, 33;8790;Waregem;Credit institution S122;;;;Y;N;BE0400040965
BE0427527696;CHASBEBX;BE;JP MORGAN CHASE BANK, NATIONAL ASSOCIATION;;Regentlaan, 35;1000;Bruxelles;Credit institution S122;US;JPMorgan Chase Bank National Association;US0ECBM00033;Y;N;BE0427527696
BE0416444061;COBABEBX;BE;COMMERZBANK;;Boulevard Louis Schmidt, 29;1040;Etterbeek;Credit institution S122;DE;COMMERZBANK Aktiengesellschaft;DE00003;Y;N;BE0416444061
BE0402487939;CPHBBE75;BE;BANQUE CPH;;Rue Perdue(TOU), 7;7500;Tournai;Credit institution S122;;;;Y;N;BE0402487939
BE0403211380;CREGBEBB;BE;CBC Banque;;Avenue Albert 1er, 60;5000;Namur;Credit institution S122;;;;Y;N;BE0403211380
